City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,ghat,24.9647,10.1728,72.63,24,100,6.33,LY,1683861817
134,san luis de la loma,17.2706,-100.8939,81.59,76,89,3.42,MX,1683861818
135,harstad,68.799,16.5293,43.16,99,96,11.99,NO,1683861818
136,kirensk,57.7853,108.1119,48.22,41,100,9.69,RU,1683861818
137,hamilton,39.1834,-84.5333,71.01,81,0,5.75,US,1683861693
138,georgetown,5.4112,100.3354,93.15,70,20,4.61,MY,1683861816
139,port lincoln,-34.7333,135.8667,61.68,57,12,10.74,AU,1683861818
140,qaqortoq,60.7167,-46.0333,34.84,89,100,2.73,GL,1683861819
141,kerikeri,-35.2268,173.9474,62.91,62,15,4.0,NZ,1683861819
142,callao,-12.0667,-77.15,71.89,73,100,11.5,PE,1683861819
143,mhamid,29.82,-5.72,78.57,17,8,6.04,MA,1683861819
144,esperanza,19.5847,-70.9849,77.58,92,6,4.34,DO,1683861820
145,labrador city,52.9463,-66.9114,30.11,80,20,5.75,CA,1683861820
146,namtsy,62.7161,129.6658,40.26,30,100,8.5,RU,1683861820
147,kuala terengganu,5.3302,103.1408,91.35,66,20,4.61,MY,1683861702
148,swakopmund,-22.6833,14.5333,58.05,89,100,5.99,NA,1683861820
149,qingyuan,23.7,113.0333,69.78,74,99,5.14,CN,1683861820
150,kralendijk,12.15,-68.2667,80.58,78,40,13.8,BQ,1683861821
151,horta,38.5333,-28.6333,59.02,86,60,5.01,PT,1683861821
152,clovis,36.8252,-119.7029,73.29,45,0,12.66,US,1683861821
153,minas de marcona,-15.2119,-75.1103,57.56,87,42,8.55,PE,1683861821
154,kavaratti,10.5669,72.642,84.78,66,100,5.23,IN,1683861821
155,port elizabeth,-33.918,25.5701,59.29,88,0,17.27,ZA,1683861822
156,mugia,43.1041,-9.2179,55.9,81,83,14.61,ES,1683861822
157,yuzhno-kurilsk,44.0306,145.8556,46.11,65,11,5.86,RU,1683861822
158,corumba,-19.0092,-57.6533,74.19,60,99,4.27,BR,1683861823
159,woolgoolga,-30.1106,153.2007,73.04,67,15,7.74,AU,1683861823
160,manokwari,-0.8667,134.0833,84.25,73,93,9.44,ID,1683861823
161,constantia,44.1833,28.65,41.7,63,64,11.88,RO,1683861823
162,el calafate,-50.3408,-72.2768,43.93,85,67,9.6,AR,1683861824
163,whitehorse,60.7161,-135.0538,56.17,35,75,13.8,CA,1683861810
164,new plymouth,-39.0667,174.0833,60.57,100,1,4.83,NZ,1683861824
165,mount pleasant,32.7941,-79.8626,71.01,87,0,6.91,US,1683861824
166,mazagao,-0.115,-51.2894,77.05,96,100,2.82,BR,1683861825
167,susuman,62.7833,148.1667,41.65,68,100,4.09,RU,1683861825
168,ettelbruck,49.8475,6.1042,51.91,93,100,3.51,LU,1683861825
169,taoudenni,22.6783,-3.9836,90.39,10,92,9.75,ML,1683861825
170,bubaque,11.2833,-15.8333,78.93,76,100,16.2,GW,1683861825
171,makarska,43.2969,17.0178,54.39,85,100,12.21,HR,1683861826
172,talara,-4.5772,-81.2719,77.76,83,75,9.22,PE,1683861826
173,nova sintra,14.8667,-24.7167,67.75,81,6,16.11,CV,1683861826
174,togur,58.3631,82.8265,36.19,58,68,11.65,RU,1683861826
175,sinabang,2.4803,96.3801,85.03,78,20,9.28,ID,1683861826
176,celestun,20.8667,-90.4,85.66,65,19,11.07,MX,1683861681
177,aioun,16.6614,-9.6149,89.62,10,50,6.15,MR,1683861827
178,tahlequah,35.9154,-94.97,74.48,73,40,3.44,US,1683861827
179,edd,13.9297,41.6925,84.51,77,3,2.39,ER,1683861827
180,kottayam,9.5833,76.5167,85.05,78,100,1.01,IN,1683861828
181,chibougamau,49.9168,-74.3659,55.02,58,75,2.3,CA,1683861828
182,fortuna,40.5982,-124.1573,53.92,87,100,8.05,US,1683861828
183,remire-montjoly,4.9167,-52.2667,73.44,100,0,0.0,GF,1683861828
184,jamestown,42.097,-79.2353,62.24,62,0,1.01,US,1683861828
185,hammerfest,70.6634,23.6821,41.45,100,100,20.71,NO,1683861829
186,kingsford,-33.924,151.2275,75.7,53,20,6.91,AU,1683861829
187,hun,29.1268,15.9477,64.44,59,0,1.23,LY,1683861829
188,waingapu,-9.6567,120.2641,83.1,62,92,14.94,ID,1683861829
189,sao vicente,-23.9631,-46.3919,72.99,26,92,4.16,BR,1683861829
190,kurmuk,10.55,34.2833,78.03,38,7,2.3,SD,1683861830
191,la passe,45.5549,-0.8967,52.99,86,87,3.6,FR,1683861830
192,saint-philippe,-21.3585,55.7679,72.99,76,93,9.71,RE,1683861830
193,nyandoma,61.669,40.1991,48.97,68,98,5.21,RU,1683861830
194,tughyl,47.7252,84.2063,60.24,46,87,3.89,KZ,1683861830
